"Aid","AName"
"76122","Emma Suárez"
"28178","Jorge Bosch"
"27067","Álvaro Cervantes"
"69381","Carmen Machi"
"14793","Inma Cuesta"
"28743","Eduard Fernández"
"75314","María Morales"
"42108","José Ángel Egido"
"65164","Daniel Chamorro"
"25659","Javi Coll"
"52894","Carlos Manuel Díaz"
"73637","Nuria Mencía"
"50767","Milo Taboada"
"75968","Iria del Río"
"91406","Nora Navas"
"21855","Josep Linuesa"
"81060","Natàlia Barrientos"
"63023","Dèlia Brufau"
"37603","Yasmina Drissi Sales"
"86925","Júlia Gibert"
"14668","Mireia Oriol"
"69880","Asia Ortega Leiva"
"98191","Claudia Riera"
"55213","Mireia Aixalà"
"18729","Juli Fàbregas"
"70094","Àgata Roca"
"79377","Marc Clotet"
"70886","Tom Cullen"
"83846","O.T. Fagbenle"
"27847","Lee Ingleby"
"15511","Sarah Solemani"
"55959","Hannah Arterton"
"51263","Geraldine James"
"47643","Michael Maloney"
"89437","Rade Serbedzija"
"36156","Jonathan Kerrigan"
"43469","Don Warrington"
"61833","Sophia La Porta"
"80193","Peter Ho"
"35760","Jeanine Yang"
"92854","Tammy Chen"
"57469","Jason Tsou"
"23146","Chang Ting-hu"
"98176","Nana Lee"
"22322","Nien Hsuan Wu"
"22036","Alyssa Chia"
"67778","Mavis Fan"
"93651","Joseph Chang"
"76375","Wang Po-chieh"
"72098","Jeremiah Zhang"
"38862","Chou Min-fu"
"73874","Greg Hsu"
"39036","Kuo Tze-cheng"
"77925","Shen Hai-jung"
"73016","Lu Yi-long"
"65522","Taecyeon"
"28211","Kim So-hyun"
"61118","Kwon Yul"
"71830","Kim Sang-ho"
"97432","Kang Ki-young"
"80269","Lee Da-wit"
"20416","Kim Min-sang"
"59289","Yun Seo-hyun"
"50074","Güler Ökten"
"10191","Hazal Türesan"
"25796","İlkin Tüfekçi"
"49769","Bedia Ener"
"91770","Erkan Can"
"27454","Öykü Karayel"
"69604","Emre Kızılırmak"
"90767","Bestemsu Özdemir"
"56132","Engin Akyürek"
