"D_AWid","AYear","AType","Did"
1312,2018,"Emmy","8396"
1404,2014,"Emmy","4675"
1304,2013,"Emmy","7830"
1320,2011,"Emmy","4704"
1343,2010,"Emmy","1212"
1309,2009,"Emmy","5872"
1323,2008,"Emmy","7241"
1369,2007,"Emmy","5251"
1377,2005,"Emmy","3443"
1390,2004,"Emmy","1953"
1317,2001,"Emmy","5872"
1337,2000,"Emmy","5872"
1376,1998,"Emmy","5872"
1341,1991,"Emmy","7894"
1405,1989,"Emmy","1004"
1375,1988,"Emmy","5289"
1350,1987,"Emmy","1259"
1352,1987,"Emmy","5289"
1363,1928,"Oscar","4905"
1357,1928,"Oscar","1045"
1400,1930,"Oscar","4905"
1321,1932,"Oscar","1045"
1373,1935,"Oscar","1013"
1364,1936,"Oscar","5798"
1354,1937,"Oscar","1013"
1355,1939,"Oscar","1013"
1346,1941,"Oscar","5798"
1407,1942,"Oscar","5798"
1353,1943,"Oscar","6748"
1338,1944,"Oscar","2657"
1397,1947,"Oscar","6748"
1379,1949,"Oscar","4311"
1302,1953,"Oscar","5798"
1368,1958,"Oscar","5882"
1305,1959,"Oscar","1162"
1361,1960,"Oscar","6748"
1330,1963,"Oscar","5882"
1300,1970,"Oscar","6783"
1396,1975,"Oscar","6957"
1362,1977,"Oscar","9446"
1412,1978,"Oscar","5163"
1308,1984,"Oscar","2154"
1378,1987,"Oscar","3041"
1358,1989,"Oscar","3947"
1392,1990,"Oscar","3041"
1391,1992,"Oscar","6050"
1399,1993,"Oscar","5030"
1310,1994,"Oscar","1656"
1336,1995,"Oscar","5271"
1329,1997,"Oscar","9665"
1318,1999,"Oscar","1656"
1395,2000,"Oscar","1407"
1301,2001,"Oscar","6504"
1334,2002,"Oscar","4539"
1384,2003,"Oscar","7021"
1371,2004,"Oscar","9622"
1325,2005,"Oscar","5030"
1328,2006,"Oscar","8102"
1326,2007,"Oscar","4704"
1402,2008,"Oscar","1231"
1307,2009,"Oscar","5077"
1366,2010,"Oscar","7686"
1359,2011,"Oscar","1632"
1319,2013,"Oscar","8102"
1313,2014,"Oscar","7505"
1316,2015,"Oscar","4230"
1327,2016,"Oscar","4230"
1370,2018,"Oscar","6521"
1306,2019,"Oscar","7505"
1410,2020,"Oscar","4944"
1411,1947,"Golden Globe","1013"
1351,1949,"Golden Globe","4311"
1360,1958,"Golden Globe","5882"
1349,1959,"Golden Globe","1162"
1403,1960,"Golden Globe","6748"
1387,1962,"Golden Globe","3443"
1372,1963,"Golden Globe","5882"
1408,1966,"Golden Globe","5882"
1388,1973,"Golden Globe","6957"
1386,1975,"Golden Globe","7021"
1383,1980,"Golden Globe","6957"
1381,1984,"Golden Globe","4212"
1335,1986,"Golden Globe","4311"
1340,1987,"Golden Globe","3041"
1389,1989,"Golden Globe","5030"
1356,1990,"Golden Globe","3041"
1382,1992,"Golden Globe","3041"
1332,1993,"Golden Globe","5030"
1401,1994,"Golden Globe","1656"
1374,1995,"Golden Globe","5271"
1394,1999,"Golden Globe","1656"
1365,2000,"Golden Globe","1407"
1409,2001,"Golden Globe","8102"
1406,2002,"Golden Globe","1004"
1314,2003,"Golden Globe","4704"
1342,2004,"Golden Globe","9622"
1385,2005,"Golden Globe","5030"
1348,2006,"Golden Globe","8102"
1324,2007,"Golden Globe","4704"
1380,2009,"Golden Globe","5077"
1331,2011,"Golden Globe","7830"
1398,2012,"Golden Globe","4704"
1367,2014,"Golden Globe","7505"
1315,2018,"Golden Globe","6521"
1393,2019,"Golden Globe","7505"
1322,2020,"Golden Globe","1407"
