"Mid","MGenre","MName","PYear","Did","Views","Rid"
1528,"Children & Family Movies","Norm of the North: King Sized Adventure",2019,"8500",16956099,2491
3441,"Comedies","#realityhigh",2017,"3918",6127066,5721
6433,"International Movies","Automata",2014,"9927",8235337,5402
3319,"Stand-Up Comedy","Fabrizio Copano: Solo pienso en mi",2017,"8389",18156276,6464
3780,"Action & Adventure","Good People",2014,"2507",3160094,7580
3465,"Stand-Up Comedy","Joaquín Reyes: Una y no más",2017,"9472",9035720,8583
5681,"Action & Adventure","Kidnapping Mr. Heineken",2015,"8987",16017747,3608
7102,"Children & Family Movies","Krish Trish and Baltiboy: Battle of Wits",2013,"1027",11877947,3462
7241,"Children & Family Movies","Krish Trish and Baltiboy: Best Friends Forever",2016,"1027",14042636,9591
7438,"Children & Family Movies","Krish Trish and Baltiboy: Comics of India",2012,"2060",13961542,5583
8455,"Children & Family Movies","Krish Trish and Baltiboy: Oversmartness Never Pays",2017,"2060",19683244,3747
8401,"Children & Family Movies","Krish Trish and Baltiboy: The Greatest Trick",2013,"1027",16669602,6440
4365,"Cult Movies","Love",2015,"6411",15480447,9439
1718,"Comedies","Manhattan Romance",2014,"1841",11813225,8287
9826,"Action & Adventure","Moonwalkers",2015,"5213",1820409,9082
2031,"Horror Movies","Stonehearst Asylum",2014,"1260",5677938,5527
4622,"Dramas","The Runner",2015,"2616",6489941,9997
8110,"Dramas","6 Years",2015,"5811",17103219,2930
3677,"Horror Movies","Laddaland",2011,"8193",13179936,3560
7435,"Children & Family Movies","Next Gen",2018,"2136",2905871,7645
8732,"Comedies","Sierra Burgess Is A Loser",2018,"4227",12298509,9519
7431,"Dramas","The Most Assassinated Woman in the World",2018,"4639",2776315,9560
5954,"Dramas","Cézanne et moi",2016,"4950",4718582,3646
3652,"Dramas","Article 15",2019,"6792",4487573,8919
2647,"Comedies","Care of Kancharapalem",2018,"3479",1692291,4022
2600,"Comedies","Ee Nagaraniki Emaindi",2018,"6482",19136483,7351
