"Mid","Aid"
"8619","76122"
"6403","76122"
"3804","28178"
"4336","27067"
"8819","27067"
"8386","69381"
"2517","69381"
"3286","69381"
"4291","69381"
"5280","69381"
"8014","69381"
"4614","69381"
"8176","69381"
"6823","14793"
"5933","14793"
"6823","28743"
"4336","28743"
"5124","28743"
"8865","75314"
"6823","42108"
"9304","91406"
"1540","91406"
"4549","70886"
"8073","83846"
"2571","51263"
"5925","51263"
"3158","89437"
"9814","89437"
"5444","80193"
"9996","93651"
"2587","80269"
"5115","91770"
"3135","91770"
"8162","69069"
"8405","69069"
"9959","69069"
"6387","69069"
"9690","69069"
"6578","69069"
"5134","28997"
"4243","34791"
"8900","10318"
"9923","45597"
"5869","37235"
"9722","34608"
"9451","13501"
"9722","13501"
"9722","30348"
"8923","20701"
"2509","20701"
"5595","71601"
"8409","71601"
"9047","71601"
"2464","71601"
"7842","71601"
"4756","71601"
"9383","71601"
"5595","94190"
"8409","94190"
"9047","94190"
"2464","94190"
"7842","94190"
"4756","94190"
"8665","94190"
"7093","94190"
"9383","94190"
"2921","94190"
"5595","40927"
"8409","40927"
"9047","40927"
"2464","40927"
"7842","40927"
"4756","40927"
"8665","40927"
"7093","40927"
"5968","40927"
"9383","40927"
"2921","40927"
"8409","28308"
"9047","28308"
"2464","28308"
"7842","28308"
"8665","28308"
"7093","28308"
"9383","28308"
"2921","28308"
"2464","61451"
"7842","61451"
"4756","61451"
"9383","61451"
"9047","40193"
"7093","40193"
"7842","11664"
"8409","75550"
"8665","75550"
"8409","18183"
"8665","18183"
"7093","18183"
"8665","45026"
"7842","92239"
"8447","36080"
"9797","83281"
"1892","70508"
"2958","70508"
"6826","70508"
"6057","70508"
"1533","70508"
"6161","70508"
"2176","70508"
"3352","70508"
"6057","49800"
"5060","49800"
"6161","49800"
"8994","49800"
"3765","49800"
"6822","49800"
"2603","66995"
"2176","66995"
"2380","66995"
"9074","66995"
"7902","66995"
"2295","66995"
"6362","66995"
"5295","66995"
"3232","66995"
"6822","66995"
"1854","70604"
"8073","85450"
"5564","85450"
"5959","34905"
"1825","34905"
"8881","34905"
"5097","55589"
"8766","55589"
"2986","87516"
"4223","87516"
"4717","87516"
"2361","87516"
"2176","11984"
"2969","11984"
"6212","70032"
"9855","65626"
"8091","81278"
"8529","28490"
"2176","28490"
"2315","28490"
"5598","97509"
"5661","88660"
"7999","71936"
"5872","71936"
"9089","11051"
"3734","42092"
"9499","29245"
"4934","97148"
"2653","99705"
"1812","62018"
"2321","62018"
"7631","62018"
"9715","62018"
"8681","62018"
"7132","44217"
"3940","44217"
"5875","44217"
"2600","77405"
"1920","77405"
"3540","50134"
"5065","63028"
"4104","42187"
"6486","42187"
"3878","42187"
"5707","11807"
"7735","11807"
"1598","11807"
"9044","11807"
"5143","11807"
"8925","89018"
"5869","89018"
"9012","22524"
"4367","22876"
"4773","40439"
"4423","19339"
"8630","69761"
"7688","21090"
"7068","32707"
"9848","32707"
"4472","32707"
"9791","25807"
"1702","20777"
"4880","20777"
"9283","20777"
"8925","20777"
"4479","20777"
"5707","93760"
"6646","93760"
"9044","93760"
"1702","93760"
"4880","93760"
"9283","93760"
"4479","93760"
"4104","70215"
"1702","70215"
"4880","70215"
"9283","70215"
"4479","70215"
"4880","92040"
"9283","92040"
"9823","92040"
"5707","27211"
"6646","27211"
"9044","27211"
"1702","27211"
"4880","27211"
"9283","27211"
"8925","27211"
"5869","27211"
"9823","27211"
"4479","27211"
"4880","53415"
"9283","53415"
"9722","53415"
"6486","83590"
"4880","83590"
"9283","83590"
"5869","83590"
"5707","16888"
"9044","16888"
"4880","16888"
"9283","16888"
"4880","19660"
"9283","19660"
"8709","61885"
"4880","61885"
"9283","61885"
"4905","61885"
"6733","61885"
"1702","93876"
"4880","93876"
"9283","93876"
"8494","67241"
"4907","89336"
"6394","89336"
"7470","89336"
"6755","89336"
"1837","34743"
"3368","34743"
"3912","34743"
"4445","34743"
"6333","11593"
"2168","73930"
"6153","73930"
"5375","73930"
"3089","30624"
"1621","30624"
"1748","30624"
"6912","30624"
"3594","30624"
"4687","30624"
"3010","30624"
"4078","30624"
"5993","30624"
"9314","30624"
"6583","30624"
"2309","30624"
"5754","34387"
"7730","95162"
"7095","95162"
"8071","78798"
"7902","78798"
"5502","78798"
"2163","15976"
"9071","15976"
"7902","32339"
"2231","32339"
"7730","23498"
"2774","23498"
"3279","71146"
"2598","71146"
"7986","71146"
"1545","75648"
"6437","75648"
"4672","58644"
"2490","37582"
"3466","37582"
"5130","37582"
"8226","37582"
"4827","16283"
"3466","16283"
"1813","16283"
"5130","16283"
"3821","16283"
"5753","22921"
"5753","13505"
"3076","40451"
"7902","40451"
"3292","40451"
"6048","89942"
"9947","89942"
"4983","89942"
"1928","89942"
"7926","89942"
"2981","89942"
"8806","90638"
"5371","90638"
"2031","10768"
"9707","10768"
"9368","10768"
"1553","10768"
"8283","10768"
"9428","10768"
"5316","10768"
"6517","10768"
"4796","10768"
"3780","41199"
"6739","41199"
"8091","41199"
"1720","67442"
"2728","67442"
"4810","67442"
"6425","31498"
"2232","31498"
"2176","95689"
"8224","95689"
"8994","95689"
"1648","84358"
"3223","84358"
"2603","26026"
"6057","26026"
"2912","26026"
"9214","55508"
"3481","55508"
"2055","72121"
"3277","37344"
"9658","11711"
"5097","48505"
"3557","48505"
"5598","48505"
"2747","45404"
"2361","45404"
"6765","45404"
"9993","12795"
"4786","12795"
"4261","88452"
"9993","88452"
"9906","88452"
"6786","88452"
"7483","88452"
"4786","88452"
"2551","58755"
"6882","81866"
"9451","88235"
"9451","41314"
"9451","84302"
"9451","81441"
"9722","81441"
"9451","38541"
"9451","82636"
"9451","86905"
"7356","66075"
"9517","66075"
"8986","66075"
"3248","71761"
"2021","71761"
"2075","67326"
"1669","81223"
"8574","81223"
"5721","98844"
"1846","98844"
"5130","98844"
"2196","98844"
"8431","98844"
"5130","55954"
"7832","71454"
"9527","71454"
"3687","71454"
"1746","75054"
"4629","75054"
"7970","65808"
"6643","65808"
"7600","65808"
"7776","65808"
"1632","65808"
"3536","65808"
"1846","65808"
"7938","65808"
"9767","65808"
"9609","65808"
"1764","65808"
"9891","93308"
"2202","93308"
"3169","93308"
"8324","93308"
"6826","42151"
"7380","42151"
"3076","42151"
"9814","42151"
"8110","74496"
"4981","99822"
"4584","99822"
"9902","96950"
"4423","64660"
"8073","47614"
"5564","47614"
"4223","47614"
"8180","47614"
"5858","47614"
"4717","47614"
"5925","47614"
"9603","83201"
"6557","83201"
"9874","83201"
"6057","56349"
"5151","56349"
"8292","56349"
"3500","56349"
"9064","56349"
"7803","56349"
"5588","56349"
"9223","56349"
"3207","56349"
"4638","56349"
"7543","56349"
"9739","56349"
"4072","80093"
"6978","80093"
"6407","58766"
"6496","59106"
"7226","59106"
"7470","59106"
"4557","59106"
"6681","59106"
"8443","59106"
"2846","59106"
"9058","59106"
"8716","59106"
"8587","59106"
"4071","95754"
"6341","95754"
"8592","95754"
"9286","95754"
"2268","95754"
"1859","95754"
"9228","95754"
"7886","74330"
"7370","74330"
"9932","39088"
"4062","75115"
"4887","55819"
"9636","69729"
"7535","69729"
"9860","69729"
"3199","69729"
"8934","69729"
"1714","69729"
"3196","69729"
"9379","69729"
"8413","69729"
"4118","69729"
"6543","69729"
"5550","69729"
"3111","69729"
"5505","69729"
"7663","72959"
"7535","72959"
"6552","72959"
"7362","72959"
"8036","72959"
"5197","72959"
"9005","72959"
"7535","32064"
"3809","32064"
"7535","45781"
"4144","45781"
"8602","45781"
"7535","25369"
"4212","25369"
"4963","25369"
"7535","91397"
"9477","91397"
"4118","91397"
"7535","50302"
"6056","50302"
"4231","50302"
"9305","50302"
"1891","50302"
"7037","50302"
"8003","50302"
"7417","50302"
"2747","50302"
"5900","22608"
"4569","22608"
"7535","22608"
"3313","22608"
"8348","22608"
