"TVid","Aid"
"1323","76122"
"1323","28178"
"1323","27067"
"1323","69381"
"1323","14793"
"1323","28743"
"1323","75314"
"1323","42108"
"1323","65164"
"1323","25659"
"1323","52894"
"1323","73637"
"1323","50767"
"1166","75968"
"1166","91406"
"1166","21855"
"1166","81060"
"1166","63023"
"1166","37603"
"1166","86925"
"1166","14668"
"1166","69880"
"1166","98191"
"1166","55213"
"1166","18729"
"1166","70094"
"1166","79377"
"1128","70886"
"1128","83846"
"1128","27847"
"1349","27847"
"1128","15511"
"1128","55959"
"1128","51263"
"1128","47643"
"1128","89437"
"1128","36156"
"1128","43469"
"1128","61833"
"1298","80193"
"1298","35760"
"1298","92854"
"1298","57469"
"1298","23146"
"1298","98176"
"1298","22322"
"1269","22036"
"1269","67778"
"1269","93651"
"1269","76375"
"1269","72098"
"1269","38862"
"1269","73874"
"1269","39036"
"1269","77925"
"1269","73016"
"1186","65522"
"1186","28211"
"1186","61118"
"1186","71830"
"1024","71830"
"1186","97432"
"1186","80269"
"1186","20416"
"1186","59289"
"1306","50074"
"1306","10191"
"1306","25796"
"1306","49769"
"1306","91770"
"1306","27454"
"1306","69604"
"1306","90767"
"1306","56132"
"1306","40518"
"1306","81689"
"1120","81689"
"1306","61967"
"1306","33646"
"1306","79544"
"1306","77955"
"1084","69069"
"1276","21549"
"1171","21549"
"1032","21549"
"1361","53541"
"1361","28997"
"1361","40959"
"1361","87545"
"1361","26496"
"1361","27853"
"1361","33762"
"1361","13486"
"1361","27713"
"1329","16305"
"1329","34791"
"1329","82783"
"1329","83328"
"1329","10318"
"1329","46365"
"1329","47881"
"1329","67345"
"1329","49933"
"1329","37184"
"1329","76157"
"1262","16699"
"1262","82458"
"1262","38723"
"1262","10796"
"1262","39777"
"1262","29172"
"1328","21571"
"1328","23105"
"1328","66211"
"1328","57093"
"1328","65613"
"1328","33057"
"1078","87179"
"1212","97409"
"1212","67967"
"1212","15485"
"1212","44970"
"1212","44100"
"1297","44100"
"1212","25030"
"1212","90488"
"1212","11103"
"1212","18696"
"1212","25980"
"1212","43681"
"1041","43681"
"1212","12258"
"1212","12598"
"1036","45597"
"1036","51050"
"1047","51050"
"1036","41036"
"1036","97973"
"1036","95413"
"1023","95413"
"1036","37235"
"1047","37235"
"1036","34608"
"1036","13501"
"1012","13501"
"1036","30348"
"1036","20701"
"1036","41127"
"1039","41127"
"1104","98311"
"1104","59050"
"1104","89517"
"1104","71011"
"1104","74823"
"1104","56262"
"1104","24108"
"1104","17193"
"1216","71601"
"1216","94190"
"1216","40927"
"1216","28308"
"1216","61451"
"1216","40193"
"1216","11664"
"1216","75550"
"1216","18183"
"1216","45026"
"1216","92239"
"1365","67908"
"1365","30656"
"1164","74120"
"1164","36080"
"1164","65807"
"1164","83281"
"1164","39928"
"1164","70508"
"1289","49800"
"1289","66995"
"1289","42788"
"1289","17218"
"1289","70604"
"1289","85450"
"1289","34905"
"1289","17421"
"1289","44523"
"1289","55589"
"1391","87516"
"1391","36290"
"1391","11984"
"1391","90944"
"1391","32221"
"1391","70032"
"1391","75569"
"1391","54533"
"1391","65626"
"1391","81278"
"1391","85509"
"1391","63937"
"1391","17257"
"1391","77046"
"1391","70599"
"1391","87164"
"1088","28490"
"1088","97509"
"1088","33595"
"1088","76415"
"1088","41795"
"1288","98750"
"1288","18734"
"1288","48914"
"1288","88008"
"1288","95559"
"1288","18924"
"1288","85889"
"1288","67043"
"1288","22035"
"1288","79515"
"1288","88660"
"1288","61667"
"1288","28206"
"1288","21591"
"1288","68366"
"1339","48714"
"1325","71936"
"1103","71936"
"1390","11051"
"1390","11964"
"1390","20789"
"1390","13872"
"1390","12511"
"1390","72946"
"1390","10048"
"1390","58575"
"1390","58318"
"1390","20011"
"1390","76852"
"1390","27031"
"1390","98243"
"1390","70647"
"1041","41727"
"1041","38877"
"1041","75080"
"1041","20814"
"1041","38761"
"1041","83832"
"1041","30307"
"1041","19331"
"1041","41542"
"1041","76939"
"1041","36650"
"1041","29455"
"1110","50398"
"1110","17555"
"1110","23128"
"1110","54508"
"1110","88042"
"1110","42092"
"1110","29245"
"1110","97148"
"1110","99705"
"1110","56967"
"1019","60700"
"1019","71841"
"1019","72885"
"1278","72885"
"1019","92468"
"1019","97769"
"1043","62018"
"1043","39284"
"1043","44217"
"1043","79010"
"1043","77405"
"1043","81300"
"1043","63729"
"1043","85890"
"1342","94987"
"1069","50134"
"1069","80244"
"1069","54559"
"1120","80523"
"1120","77756"
"1120","63028"
"1000","63028"
"1120","34874"
"1120","11487"
"1120","60121"
"1120","50799"
"1120","33553"
"1120","59903"
"1039","36005"
"1039","85819"
"1039","42187"
"1039","27956"
"1039","11807"
"1039","29427"
"1039","89018"
"1039","36164"
"1039","33028"
"1039","22524"
"1039","96393"
"1039","12833"
"1024","79993"
"1024","22876"
"1024","40439"
"1355","40439"
"1024","19339"
"1278","19339"
"1024","58463"
"1024","62330"
"1024","97125"
"1024","60699"
"1024","14691"
"1247","56888"
"1000","56888"
"1247","69761"
"1247","46197"
"1247","11543"
"1247","21090"
"1247","32707"
"1000","32707"
"1247","84161"
"1247","45007"
"1247","91883"
"1247","44796"
"1247","35390"
"1247","49597"
"1247","56034"
"1197","78162"
"1197","25807"
"1197","26629"
"1197","69277"
"1197","47480"
"1197","36876"
"1197","95195"
"1197","76867"
"1197","26077"
"1197","63910"
"1197","45220"
"1038","20777"
"1148","20777"
"1038","93760"
"1038","70215"
"1038","92040"
"1038","27211"
"1038","53415"
"1038","83590"
"1038","16888"
"1023","16888"
"1038","19660"
"1038","61885"
"1023","61885"
"1038","93876"
"1297","33755"
"1297","67766"
"1297","37372"
"1297","22854"
"1297","64284"
"1297","37596"
"1297","33981"
"1297","92061"
"1297","67241"
"1279","89336"
"1279","34743"
"1279","55725"
"1279","86355"
"1279","91493"
"1279","33900"
"1159","11593"
"1159","43241"
"1159","73930"
"1159","30624"
"1159","86780"
"1159","39664"
"1159","36640"
"1159","94772"
"1159","43089"
"1159","26453"
"1159","15864"
"1159","12204"
"1159","37907"
"1159","34387"
"1159","85865"
"1159","15430"
"1159","34600"
"1013","80276"
"1129","49414"
"1129","44684"
"1129","30019"
"1129","24734"
"1129","50406"
"1129","76297"
"1129","47774"
"1129","52513"
"1129","87892"
"1044","44027"
"1044","24157"
"1044","33500"
"1044","87142"
"1021","87718"
"1021","39286"
"1021","95068"
"1021","95326"
"1021","18051"
"1224","18051"
"1021","82335"
"1224","82335"
"1021","17625"
"1205","95162"
"1205","24742"
"1083","24742"
"1205","66950"
"1205","78798"
"1205","69135"
"1205","15976"
"1205","32339"
"1205","53385"
"1205","23498"
"1229","33502"
"1229","73339"
"1229","23270"
"1229","90831"
"1229","24403"
"1229","71146"
"1229","70837"
"1192","75648"
"1192","58644"
"1192","94233"
"1192","34821"
"1192","78349"
"1192","40658"
"1192","73250"
"1375","37582"
"1375","16283"
"1375","22921"
"1375","48150"
"1375","13505"
"1254","13591"
"1254","66537"
"1254","75790"
"1254","21687"
"1254","63980"
"1254","46610"
"1349","40451"
"1349","89942"
"1349","90638"
"1349","10768"
"1349","41199"
"1349","67442"
"1349","31498"
"1349","95689"
"1349","84358"
"1349","26026"
"1349","55508"
"1349","72121"
"1349","37344"
"1349","27565"
"1349","11711"
"1349","48505"
"1349","78995"
"1349","45404"
"1349","75215"
"1349","23988"
"1350","86335"
"1102","95182"
"1330","12795"
"1330","88452"
"1330","58755"
"1330","18165"
"1330","39790"
"1330","81866"
"1330","91311"
"1330","76685"
"1330","67855"
"1330","61957"
"1012","88235"
"1012","41314"
"1012","84302"
"1012","81441"
"1012","38541"
"1012","82636"
"1012","86905"
"1295","66075"
"1295","71761"
"1295","67326"
"1295","89110"
"1295","33077"
"1295","81223"
"1383","12297"
"1383","84444"
"1383","98844"
"1383","55954"
"1383","71454"
"1383","75054"
"1383","65808"
"1383","93308"
"1175","42151"
"1175","35631"
"1175","74496"
"1175","60130"
"1278","99822"
"1278","96950"
"1278","72454"
"1109","72454"
"1278","87306"
"1278","13210"
"1278","64660"
"1278","91604"
"1278","36551"
"1109","36551"
"1109","11916"
"1109","86826"
"1109","25584"
"1109","23793"
"1109","20822"
"1109","72604"
"1109","46081"
"1083","47614"
"1083","43531"
"1083","47836"
"1083","83201"
"1083","56349"
"1083","80093"
"1083","58766"
"1083","59472"
"1083","29144"
"1028","59106"
"1162","59106"
"1028","95754"
"1028","74330"
"1028","17216"
"1140","71859"
"1140","10257"
"1140","88003"
"1140","35684"
"1140","33405"
"1140","28577"
"1251","39088"
"1251","10816"
"1251","63777"
"1251","23465"
"1251","10752"
"1251","37162"
"1251","60897"
"1251","45189"
"1220","15354"
"1220","12743"
"1220","75115"
"1220","55819"
"1220","49962"
"1220","79995"
"1220","84288"
"1220","34887"
"1220","40520"
"1220","42894"
"1107","16488"
"1303","69729"
"1303","72959"
"1303","32064"
"1303","45781"
"1303","25369"
"1303","91397"
"1303","50302"
"1303","22608"
"1303","98147"
"1355","45520"
"1355","84546"
"1355","56769"
"1355","77781"
"1355","45059"
"1355","40671"
"1148","16103"
"1148","43687"
"1148","38076"
"1148","30021"
"1148","70357"
"1148","60263"
"1148","47424"
"1148","57076"
"1148","72342"
"1286","33738"
"1286","61685"
"1286","85089"
"1286","19326"
"1286","56450"
"1286","95634"
"1286","37985"
"1286","81349"
"1101","79894"
"1101","62659"
"1101","94924"
"1101","68900"
"1101","36526"
"1101","16568"
"1101","79874"
"1101","26413"
"1101","70651"
"1101","35784"
"1101","52400"
"1101","79271"
"1101","24735"
"1101","46825"
"1101","12339"
"1101","45603"
"1101","58101"
"1101","46265"
"1101","41410"
"1101","33451"
"1101","88283"
"1101","49970"
"1101","26666"
"1101","25562"
"1101","71535"
"1144","84879"
"1144","67818"
"1144","53775"
"1144","70686"
"1144","75469"
"1144","16444"
"1023","16444"
"1144","53220"
"1144","22833"
"1117","15107"
"1117","94214"
"1117","69549"
"1117","46598"
"1117","48797"
"1117","29770"
"1117","88698"
"1331","22855"
"1331","11294"
"1331","44181"
"1331","25192"
"1331","30236"
"1331","63814"
"1331","52398"
"1331","64363"
"1331","58859"
"1331","23792"
"1331","68097"
"1331","55967"
"1331","19923"
"1331","33506"
"1331","87717"
"1331","75911"
"1331","42533"
"1331","94773"
"1331","88763"
"1106","33118"
"1106","90478"
"1106","51130"
"1106","69511"
"1224","69511"
"1106","26347"
"1106","93032"
"1106","17859"
"1106","93947"
"1106","19468"
"1224","19468"
"1106","61005"
"1106","95188"
"1106","66643"
"1224","66643"
"1106","67418"
"1224","67418"
"1106","78336"
"1224","78336"
"1106","54131"
"1063","12257"
"1063","51281"
"1063","30469"
"1063","85143"
"1063","44393"
"1063","53670"
"1063","15799"
"1223","12181"
"1223","78373"
"1223","48308"
"1223","79834"
"1223","87666"
"1223","43936"
"1223","98745"
"1223","64784"
"1223","43059"
"1345","57274"
"1345","59371"
"1345","52690"
"1345","71795"
"1345","40491"
"1345","41167"
"1345","98030"
"1345","94239"
"1345","41770"
"1345","13690"
"1345","81858"
"1345","11217"
"1345","70040"
"1345","32647"
"1345","83060"
"1345","67330"
"1345","72281"
"1333","72281"
"1315","62301"
"1315","58372"
"1315","87319"
"1315","62138"
"1315","34072"
"1315","11032"
"1315","22754"
"1315","88759"
"1315","71028"
"1180","71028"
"1315","84622"
"1315","57614"
"1315","69622"
"1315","62338"
"1050","33358"
"1050","70331"
"1050","67669"
"1050","21982"
"1050","46462"
"1050","68775"
"1050","99231"
"1050","11970"
"1050","86960"
"1050","64757"
"1050","20699"
"1050","79430"
"1050","54856"
"1050","17842"
"1050","73003"
"1050","38209"
"1050","96009"
"1050","31475"
"1050","73246"
"1050","71828"
"1050","49811"
"1050","77382"
"1050","66331"
"1333","93227"
